Timestamp,Waveform,Heartbeat,Heart Rate,HRV
2025-02-28 15:21:30,89,0,0,0
2025-02-28 15:21:30,66,0,0,0
2025-02-28 15:21:30,66,0,0,0
2025-02-28 15:21:31,65,0,0,0
2025-02-28 15:21:31,82,0,0,0
2025-02-28 15:21:31,84,0,0,0
2025-02-28 15:21:31,83,0,0,0
2025-02-28 15:21:31,116,0,0,0
2025-02-28 15:21:31,116,0,0,0
2025-02-28 15:21:31,114,0,0,0
2025-02-28 15:21:31,110,0,0,0
2025-02-28 15:21:31,111,0,0,0
2025-02-28 15:21:31,111,0,0,0
2025-02-28 15:21:31,87,0,0,0
2025-02-28 15:21:31,87,0,0,0
2025-02-28 15:21:31,87,0,0,0
2025-02-28 15:21:31,64,0,0,0
2025-02-28 15:21:31,64,0,0,0
2025-02-28 15:21:31,63,0,0,0
2025-02-28 15:21:31,78,0,0,0
2025-02-28 15:21:31,79,0,0,0
2025-02-28 15:21:31,78,0,0,0
2025-02-28 15:21:31,112,0,0,0
2025-02-28 15:21:31,114,0,0,0
2025-02-28 15:21:31,114,0,0,0
2025-02-28 15:21:31,112,0,0,0
2025-02-28 15:21:31,112,0,0,0
2025-02-28 15:21:32,111,0,0,0
2025-02-28 15:21:32,88,0,0,0
2025-02-28 15:21:32,88,0,0,0
2025-02-28 15:21:32,88,0,0,0
2025-02-28 15:21:32,64,0,0,0
2025-02-28 15:21:32,65,0,0,0
2025-02-28 15:21:32,65,0,0,0
2025-02-28 15:21:32,79,0,0,0
2025-02-28 15:21:32,77,0,0,0
2025-02-28 15:21:32,78,0,0,0
2025-02-28 15:21:32,113,0,0,0
2025-02-28 15:21:32,113,0,0,0
2025-02-28 15:21:32,114,0,0,0
2025-02-28 15:21:32,114,0,0,0
2025-02-28 15:21:32,114,0,0,0
2025-02-28 15:21:32,113,0,0,0
2025-02-28 15:21:32,89,0,0,0
2025-02-28 15:21:32,87,0,0,0
2025-02-28 15:21:32,89,0,0,0
2025-02-28 15:21:32,64,0,0,0
2025-02-28 15:21:32,65,0,0,0
2025-02-28 15:21:32,66,0,0,0
2025-02-28 15:21:32,76,0,0,0
2025-02-28 15:21:33,76,0,0,0
2025-02-28 15:21:33,77,0,0,0
2025-02-28 15:21:33,110,0,0,0
2025-02-28 15:21:33,110,0,0,0
2025-02-28 15:21:33,111,0,0,0
2025-02-28 15:21:33,111,0,0,0
2025-02-28 15:21:33,112,0,0,0
2025-02-28 15:21:33,113,0,0,0
2025-02-28 15:21:33,90,0,0,0
2025-02-28 15:21:33,90,0,0,0
2025-02-28 15:21:33,91,0,0,0
2025-02-28 15:21:33,66,0,0,0
2025-02-28 15:21:33,66,0,0,0
2025-02-28 15:21:33,65,0,0,0
2025-02-28 15:21:33,76,0,0,0
2025-02-28 15:21:33,76,0,0,0
2025-02-28 15:21:33,75,0,0,0
2025-02-28 15:21:33,109,0,0,0
2025-02-28 15:21:33,108,0,0,0
2025-02-28 15:21:33,109,0,0,0
2025-02-28 15:21:33,113,0,0,0
2025-02-28 15:21:33,112,0,0,0
2025-02-28 15:21:33,113,0,0,0
2025-02-28 15:21:33,90,0,0,0
2025-02-28 15:21:34,91,0,0,0
2025-02-28 15:21:34,90,0,0,0
2025-02-28 15:21:34,68,0,0,0
2025-02-28 15:21:34,68,0,0,0
2025-02-28 15:21:34,67,0,0,0
2025-02-28 15:21:34,75,0,0,0
2025-02-28 15:21:34,75,0,0,0
2025-02-28 15:21:34,76,0,0,0
2025-02-28 15:21:34,109,0,0,0
2025-02-28 15:21:34,109,0,0,0
2025-02-28 15:21:34,109,0,0,0
2025-02-28 15:21:34,115,0,0,0
2025-02-28 15:21:34,114,0,0,0
2025-02-28 15:21:34,115,0,0,0
2025-02-28 15:21:34,91,0,0,0
2025-02-28 15:21:34,91,0,0,0
2025-02-28 15:21:34,90,0,0,0
2025-02-28 15:21:34,67,0,0,0
2025-02-28 15:21:34,67,0,0,0
2025-02-28 15:21:34,68,0,0,0
2025-02-28 15:21:34,75,0,0,0
2025-02-28 15:21:34,74,0,0,0
2025-02-28 15:21:34,76,0,0,0
2025-02-28 15:21:35,111,0,0,0
2025-02-28 15:21:35,109,0,0,0
2025-02-28 15:21:35,107,0,0,0
2025-02-28 15:21:35,114,0,0,0
2025-02-28 15:21:35,114,0,0,0
2025-02-28 15:21:35,113,0,0,0
2025-02-28 15:21:35,91,0,0,0
2025-02-28 15:21:35,91,0,0,0
2025-02-28 15:21:35,90,0,0,0
2025-02-28 15:21:35,68,0,0,0
2025-02-28 15:21:35,68,0,0,0
2025-02-28 15:21:35,68,0,0,0
2025-02-28 15:21:35,74,0,0,0
2025-02-28 15:21:35,75,0,0,0
2025-02-28 15:21:35,75,0,0,0
2025-02-28 15:21:35,110,0,0,0
2025-02-28 15:21:35,109,0,0,0
2025-02-28 15:21:35,109,0,0,0
2025-02-28 15:21:35,114,0,0,0
2025-02-28 15:21:35,114,0,0,0
2025-02-28 15:21:35,114,0,0,0
2025-02-28 15:21:35,92,0,0,0
2025-02-28 15:21:35,92,0,0,0
2025-02-28 15:21:35,93,0,0,0
2025-02-28 15:21:36,70,0,0,0
2025-02-28 15:21:36,68,0,0,0
2025-02-28 15:21:36,68,0,0,0
2025-02-28 15:21:36,74,0,0,0
2025-02-28 15:21:36,73,0,0,0
2025-02-28 15:21:36,73,0,0,0
2025-02-28 15:21:36,108,0,0,0
2025-02-28 15:21:36,108,0,0,0
2025-02-28 15:21:36,109,0,0,0
2025-02-28 15:21:36,115,0,0,0
2025-02-28 15:21:36,114,0,0,0
2025-02-28 15:21:36,114,0,0,0
2025-02-28 15:21:36,91,0,0,0
2025-02-28 15:21:36,92,0,0,0
2025-02-28 15:21:36,92,0,0,0
2025-02-28 15:21:36,70,0,0,0
2025-02-28 15:21:36,68,0,0,0
2025-02-28 15:21:36,68,0,0,0
2025-02-28 15:21:36,73,0,0,0
2025-02-28 15:21:36,73,0,0,0
2025-02-28 15:21:36,72,0,0,0
2025-02-28 15:21:36,107,0,0,0
2025-02-28 15:21:36,107,0,0,0
2025-02-28 15:21:37,107,0,0,0
2025-02-28 15:21:37,115,0,0,0
2025-02-28 15:21:37,115,0,0,0
2025-02-28 15:21:37,113,0,0,0
2025-02-28 15:21:37,92,0,0,0
2025-02-28 15:21:37,93,0,0,0
2025-02-28 15:21:37,92,0,0,0
2025-02-28 15:21:37,69,0,0,0
2025-02-28 15:21:37,69,0,0,0
2025-02-28 15:21:37,69,0,0,0
2025-02-28 15:21:37,73,0,0,0
2025-02-28 15:21:37,73,0,0,0
2025-02-28 15:21:37,73,0,0,0
2025-02-28 15:21:37,108,0,0,0
2025-02-28 15:21:37,108,0,0,0
2025-02-28 15:21:37,107,0,0,0
2025-02-28 15:21:37,115,0,0,0
2025-02-28 15:21:37,115,0,0,0
2025-02-28 15:21:37,114,0,0,0
2025-02-28 15:21:37,93,0,0,0
2025-02-28 15:21:37,93,0,0,0
2025-02-28 15:21:37,94,0,0,0
2025-02-28 15:21:37,71,0,0,0
2025-02-28 15:21:38,71,0,0,0
2025-02-28 15:21:38,69,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,108,0,0,0
2025-02-28 15:21:38,108,0,0,0
2025-02-28 15:21:38,108,0,0,0
2025-02-28 15:21:38,114,0,0,0
2025-02-28 15:21:38,113,0,0,0
2025-02-28 15:21:38,114,0,0,0
2025-02-28 15:21:38,91,0,0,0
2025-02-28 15:21:38,89,0,0,0
2025-02-28 15:21:38,91,0,0,0
2025-02-28 15:21:38,68,0,0,0
2025-02-28 15:21:38,68,0,0,0
2025-02-28 15:21:38,69,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,73,0,0,0
2025-02-28 15:21:38,106,0,0,0
2025-02-28 15:21:38,106,0,0,0
2025-02-28 15:21:38,107,0,0,0
2025-02-28 15:21:38,113,0,0,0
2025-02-28 15:21:39,113,0,0,0
2025-02-28 15:21:39,113,0,0,0
2025-02-28 15:21:39,89,0,0,0
2025-02-28 15:21:39,89,0,0,0
2025-02-28 15:21:39,91,0,0,0
2025-02-28 15:21:39,68,0,0,0
2025-02-28 15:21:39,68,0,0,0
2025-02-28 15:21:39,69,0,0,0
2025-02-28 15:21:39,74,0,0,0
2025-02-28 15:21:39,75,0,0,0
2025-02-28 15:21:39,74,0,0,0
2025-02-28 15:21:39,110,0,0,0
2025-02-28 15:21:39,108,0,0,0
2025-02-28 15:21:39,109,0,0,0
2025-02-28 15:21:39,117,0,0,0
2025-02-28 15:21:39,116,0,0,0
2025-02-28 15:21:39,116,0,0,0
2025-02-28 15:21:39,94,0,0,0
2025-02-28 15:21:39,93,0,0,0
2025-02-28 15:21:39,93,0,0,0
2025-02-28 15:21:39,71,0,0,0
2025-02-28 15:21:39,71,0,0,0
2025-02-28 15:21:39,69,0,0,0
2025-02-28 15:21:40,73,0,0,0
2025-02-28 15:21:40,72,0,0,0
2025-02-28 15:21:40,72,0,0,0
2025-02-28 15:21:40,106,0,0,0
2025-02-28 15:21:40,105,0,0,0
2025-02-28 15:21:40,104,0,0,0
2025-02-28 15:21:40,112,0,0,0
2025-02-28 15:21:40,111,0,0,0
2025-02-28 15:21:40,112,0,0,0
2025-02-28 15:21:40,91,0,0,0
2025-02-28 15:21:40,92,0,0,0
2025-02-28 15:21:40,92,0,0,0
2025-02-28 15:21:40,70,0,0,0
2025-02-28 15:21:40,71,0,0,0
2025-02-28 15:21:40,71,0,0,0
2025-02-28 15:21:40,74,0,0,0
2025-02-28 15:21:40,73,0,0,0
